#ID	4UW.C077	4CW.C084	2UC.C091	3UC.C066	3CC.C081	3CC.C116	4UW.C128	3CC.C086	1CC.C156	4UW.C144	1CW.C089	1CC.C085	1CW.C096	5UW.C070	5CC.C161	5CW.C132	5CW.C075	2UW.C100	3CW.C090	6CW.C145	5CW.C088	5CC.C157	4UC.C159	2UC.C074	6CC.C134	6UC.C131	2UW.C126	4CW.C130	1UW.C153	2UC.C093	2CC.C154	3CW.C151	1CC.C082	6UC.C083	6UW.C095	2CW.C160	4CC.C150	1CW.C136	4CC.C125	2UW.C147	4UC.C099	2CC.C139	6UC.C079	3UW.C101	3UC.C140	5UC.C162	1UC.C141	1UC.C149	3CW.C102	6CW.C137	6CC.C026	3UW.C143	5UW.C098	6UW.C127	5UC.C146	6UW.C158	taxonomy
2984006	18	8	21	38	117	111	16	52	16	5	20	23	34	1	0	1	2	32	53	8	3	2	9	91	2	0	19	7	68	69	40	63	59	2	70	19	7	17	17	25	2	37	7	38	18	2	3	6	27	1	4	17	2	2	2	2	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
791149	12	4	23	3	31	41	7	37	12	7	24	16	13	10	6	2	2	13	10	6	1	4	23	125	8	4	7	3	22	53	12	7	29	2	10	14	2	6	0	12	15	18	4	8	5	1	4	5	4	3	8	12	6	1	1	1	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Shewanellaceae;  g__Shewanella;  s__
584527	13	4	4	2	16	9	5	4	3	13	5	8	4	19	6	6	8	12	9	5	21	10	17	14	9	12	4	16	5	11	4	6	9	9	34	7	4	2	6	8	14	1	12	6	5	4	4	8	4	2	7	4	7	20	8	8	k__Bacteria;  p__Chloroflexi;  c__Ellin6529;  o__;  f__;  g__;  s__
275105	9	0	2	18	48	49	8	23	0	6	24	11	28	4	3	1	1	3	14	4	3	1	3	10	8	3	0	3	26	1	6	15	11	2	0	5	1	18	6	5	9	0	9	26	3	2	2	3	13	0	1	9	1	0	0	0	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
238280	7	6	6	1	14	3	6	1	7	1	17	7	11	20	10	14	13	3	2	8	19	16	1	19	6	11	1	3	11	20	2	4	4	26	7	4	0	6	2	3	1	1	10	3	0	7	1	1	2	10	19	1	22	7	9	7	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
245951	6	5	8	18	58	47	6	14	5	5	8	27	9	0	0	0	0	1	18	0	0	0	1	20	3	4	0	9	23	7	3	16	10	2	0	1	0	7	3	4	3	8	2	13	13	1	1	1	18	0	2	9	0	0	0	0	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
250808	6	9	2	5	14	17	3	10	6	4	10	17	12	6	0	3	7	12	9	2	4	10	6	12	3	5	1	9	11	16	4	6	5	3	16	2	7	5	6	7	13	7	6	6	8	5	5	4	7	3	8	9	8	5	3	4	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
240358	31	25	5	2	8	4	14	7	5	10	6	6	4	8	3	1	4	4	7	2	11	3	5	8	10	11	2	19	1	8	1	5	6	14	2	2	11	2	10	6	11	2	11	7	7	3	5	4	6	2	2	7	3	1	16	5	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
1022861	17	32	2	2	7	14	17	9	5	19	9	8	9	1	0	1	1	3	8	0	0	1	7	11	0	1	3	19	3	17	2	6	10	1	22	5	4	3	7	6	18	5	1	9	8	0	6	4	11	0	0	9	0	0	0	0	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
249773	1	0	14	1	6	4	1	2	12	2	27	8	17	1	0	0	0	11	3	0	3	1	0	44	1	2	10	0	24	63	27	0	11	2	5	16	0	8	2	7	1	5	1	1	2	1	2	7	1	0	1	2	2	0	1	0	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
