#ID	1CC.C082	2UC.C091	3UC.C066	4UW.C077	2UC.C074	1CW.C136	3UW.C101	3CC.C116	3CW.C102	3CC.C086	2CC.C154	4UC.C099	2UW.C126	1UC.C149	3CW.C151	1UW.C153	2UW.C100	1CW.C096	1CW.C089	4UW.C128	6CW.C145	4CW.C130	1CC.C085	6UW.C095	6CC.C134	4CC.C150	5CW.C075	5CW.C132	6UC.C083	6CW.C137	5UC.C146	5CC.C161	6UC.C079	6UC.C131	2UC.C093	6CC.C026	1CC.C156	4UC.C159	5CC.C157	3CW.C090	4CW.C084	4UW.C144	5UW.C098	6UW.C127	5CW.C088	2CC.C139	6UW.C158	4CC.C125	3UW.C143	5UC.C162	1UC.C141	2UW.C147	5UW.C070	3CC.C081	2CW.C160	3UC.C140	taxonomy
561452	0.005472222	0.008995891	0.292688677	0.005496869	0.364080342	0.346546907	0.253048992	0.329631649	0.178981647	0.006121096	0.375249808	0.197477721	0.008742851	0.40114622	0.190528831	0.410523259	0.55834924	0.385779186	0.006060307	0.006958785	0.00986807	0.449095303	0.262644126	0.119890007	0.008126113	0.007651559	0.007430396	0.222998719	0.17236971	0.009604685	0.009311241	0.009953981	0.006787766	0.218269183	0.140002089	0.33429003	0.511398864	0.009173413	0.008652626	0.380851455	0.316633706	0.009200426	0.321796827	0.008793581	0.005477518	0.239053656	0.311939715	0.203279184	0.384955863	0.009744545	0.248004076	0.432222144	0.170012218	0.003450478	0.006109158	0.411802598	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
509277	0.478345563	0.008995891	0.187136667	0.175351584	0.003413892	0.221933281	0.368820558	0.423332577	0.005448266	0.570738088	0.298830931	0.197477721	0.340107088	0.006972916	0.37348663	0.004218119	0.006076993	0.169586678	0.183077242	0.388253157	0.00986807	0.739857816	0.006678402	0.119890007	0.460865733	0.007651559	0.007430396	0.008466455	0.270126133	0.009604685	0.009311241	0.009953981	0.006787766	0.218269183	0.140002089	0.214083011	0.009605797	0.009173413	0.008652626	0.167396823	0.51149621	0.355709898	0.205582137	0.231238639	0.005477518	0.009985982	0.007460149	0.203279184	0.009148639	0.009744545	0.009560465	0.007690316	0.007323419	0.222100442	0.177935836	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
152538	0.163096669	0.008995891	0.425668484	0.175351584	0.364080342	0.008904882	0.547513518	0.128112803	0.280492167	0.006121096	0.191124572	0.007751946	0.008742851	0.204059568	0.007571032	0.43353706	0.456435612	0.00604336	0.183077242	0.006958785	0.257809993	0.229141952	0.262644126	0.119890007	0.008126113	0.21204594	0.007430396	0.008466455	0.005254002	0.009604685	0.009311241	0.009953981	0.202018984	0.218269183	0.277469439	0.008587756	0.225716308	0.21264119	0.008652626	0.564526646	0.316633706	0.574333034	0.006911812	0.008793581	0.005477518	0.239053656	0.007460149	0.007197619	0.306968818	0.009744545	0.009560465	0.007690316	0.007323419	0.279356014	0.006109158	0.327923714	k__Bacteria;  p__Chloroflexi;  c__Anaerolineae;  o__envOPS12;  f__;  g__;  s__
590416	0.163096669	0.450808733	0.425668484	0.175351584	0.142938721	0.434961681	0.004063705	0.456775886	0.280492167	0.163617023	0.434524895	0.007751946	0.008742851	0.319347869	0.587533533	0.354312636	0.006076993	0.00604336	0.006060307	0.309127425	0.00986807	0.009188602	0.006678402	0.239780014	0.008126113	0.007651559	0.007430396	0.008466455	0.17236971	0.009604685	0.009311241	0.009953981	0.006787766	0.218269183	0.002534738	0.008587756	0.441826819	0.21264119	0.008652626	0.380851455	0.007783945	0.009200426	0.006911812	0.008793581	0.005477518	0.373049656	0.007460149	0.317979547	0.009148639	0.009744545	0.009560465	0.21995623	0.007323419	0.417308782	0.177935836	0.476864115	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
514050	0.005472222	0.229902312	0.606110838	0.005496869	0.327380511	0.221933281	0.445077338	0.329631649	0.178981647	0.32111295	0.006999336	0.007751946	0.217810407	0.46459395	0.297552283	0.275088213	0.495181375	0.265253387	0.183077242	0.388253157	0.00986807	0.009188602	0.262644126	0.119890007	0.008126113	0.21204594	0.007430396	0.008466455	0.17236971	0.2533246	0.009311241	0.009953981	0.006787766	0.218269183	0.277469439	0.008587756	0.009605797	0.009173413	0.008652626	0.005924628	0.316633706	0.009200426	0.006911812	0.231238639	0.005477518	0.239053656	0.007460149	0.007197619	0.197052251	0.009744545	0.387484647	0.21995623	0.007323419	0.222100442	0.177935836	0.327923714	k__Bacteria;  p__Bacteroidetes;  c__Sphingobacteria;  o__Sphingobacteriales;  f__Chitinophagaceae;  g__;  s__
594318	0.005472222	0.008995891	0.006694313	0.005496869	0.003413892	0.008904882	0.004063705	0.000968566	0.005448266	0.006121096	0.191124572	0.007751946	0.008742851	0.006972916	0.007571032	0.139653166	0.006076993	0.00604336	0.006060307	0.006958785	0.257809993	0.009188602	0.006678402	0.239780014	0.317168982	0.007651559	0.202057003	0.008466455	0.583379367	0.2533246	0.795250423	0.378267534	0.397250201	0.007200774	0.002534738	0.485732963	0.009605797	0.21264119	0.680478865	0.005924628	0.202646449	0.009200426	0.205582137	0.453683697	0.424212697	0.009985982	0.311939715	0.007197619	0.009148639	0.506838114	0.009560465	0.007690316	0.570134194	0.003450478	0.006109158	0.007603537	k__Bacteria;  p__Verrucomicrobia;  c__Spartobacteria;  o__Spartobacteriales;  f__Spartobacteriaceae;  g__MC18;  s__
30667	0.320721116	0.008995891	0.367579021	0.175351584	0.003413892	0.008904882	0.004063705	0.202487413	0.005448266	0.371815314	0.006999336	0.448281555	0.217810407	0.006972916	0.007571032	0.21887759	0.282213116	0.00604336	0.006060307	0.309127425	0.585571386	0.009188602	0.168174793	0.309911173	0.008126113	0.21204594	0.202057003	0.348492049	0.005254002	0.009604685	0.536823986	0.662327059	0.202018984	0.007200774	0.140002089	0.214083011	0.009605797	0.009173413	0.008652626	0.005924628	0.007783945	0.009200426	0.321796827	0.525295011	0.460237796	0.009985982	0.311939715	0.007197619	0.306968818	0.009744545	0.009560465	0.007690316	0.464048619	0.003450478	0.006109158	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Actinomycetales;  f__Micromonosporaceae;  g__Actinoplanes;  s__Actinoplanes ferrugineus
587675	0.371464854	0.008995891	0.187136667	0.399887304	0.327380511	0.503541508	0.004063705	0.000968566	0.408380298	0.255746235	0.006999336	0.197477721	0.008742851	0.204059568	0.007571032	0.21887759	0.180299489	0.4651675	0.28662551	0.197605971	0.00986807	0.357806414	0.329671185	0	0.203110454	0.007651559	0.007430396	0.008466455	0.270126133	0.009604685	0.009311241	0.009953981	0.202018984	0.218269183	0.321724042	0.008587756	0.009605797	0.009173413	0.008652626	0.380851455	0.316633706	0.227823562	0.006911812	0.008793581	0.005477518	0.373049656	0.007460149	0.203279184	0.306968818	0.009744545	0.486447687	0.34412383	0.007323419	0.003450478	0.405078351	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
547191	0.25530106	0.359124284	0.187136667	0.005496869	0.142938721	0.008904882	0.004063705	0.128112803	0.005448266	0.163617023	0.006999336	0.387203497	0.008742851	0.204059568	0.007571032	0.004218119	0.180299489	0.265253387	0.006060307	0.006958785	0.257809993	0.009188602	0.168174793	0.239780014	0.203110454	0.482240615	0.31590627	0.222998719	0.17236971	0.2533246	0.236498614	0.24233396	0.202018984	0.218269183	0.277469439	0.419578267	0.009605797	0.331662209	0.531435054	0.167396823	0.316633706	0.009200426	0.404252461	0.008793581	0.56586697	0.009985982	0.311939715	0.203279184	0.197052251	0.009744545	0.009560465	0.007690316	0.170012218	0.141403246	0.177935836	0.007603537	k__Bacteria;  p__Chloroflexi;  c__SOGA31;  o__;  f__;  g__;  s__
591009	0.005472222	0.008995891	0.187136667	0.005496869	0.003413892	0.008904882	0.004063705	0.000968566	0.005448266	0.006121096	0.006999336	0.007751946	0.008742851	0.006972916	0.007571032	0.004218119	0.006076993	0.00604336	0.006060307	0.006958785	0.505751915	0.009188602	0.006678402	0	0.555516363	0.007651559	0.31590627	0.610734663	0.17236971	0.497044515	0.647106832	0.474713939	0.006787766	0.218269183	0.140002089	0.008587756	0.009605797	0.009173413	0.531435054	0.005924628	0.316633706	0.009200426	0.205582137	0.361360656	0.167466398	0.009985982	0.007460149	0.007197619	0.009148639	0.750362316	0.009560465	0.007690316	0.52303471	0.36005321	0.006109158	0.007603537	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Hyphomicrobiaceae;  g__Rhodoplanes;  s__
