#ID	4UW.C077	4CW.C084	2UC.C091	3UC.C066	3CC.C081	3CC.C116	4UW.C128	3CC.C086	1CC.C156	4UW.C144	1CW.C089	1CC.C085	1CW.C096	5UW.C070	5CC.C161	5CW.C132	5CW.C075	2UW.C100	3CW.C090	6CW.C145	5CW.C088	5CC.C157	4UC.C159	2UC.C074	6CC.C134	6UC.C131	2UW.C126	4CW.C130	1UW.C153	2UC.C093	2CC.C154	3CW.C151	1CC.C082	6UC.C083	6UW.C095	2CW.C160	4CC.C150	1CW.C136	4CC.C125	2UW.C147	4UC.C099	2CC.C139	6UC.C079	3UW.C101	3UC.C140	5UC.C162	1UC.C141	1UC.C149	3CW.C102	6CW.C137	6CC.C026	3UW.C143	5UW.C098	6UW.C127	5UC.C146	6UW.C158	taxonomy
759250	0.389264643	0.485491633	0.354369502	0.568862642	0.594348596	0.493141198	0.549678779	0.608106979	0.416789274	0.468873182	0.432231221	0.374149174	0.235952436	0.010316698	0.015668946	0.013344954	0.011996838	0.466420316	0.533879202	0.218852673	0.008724382	0.012762347	0.467455135	0.387136452	0.460683459	0.34460831	0.20611627	0.354898466	0.376771642	0.430004128	0.60248595	0.654064638	0.379011828	0.213696779	0.382614869	0.464470882	0.348778356	0.4789615	0.469383134	0.445130401	0.237215573	0.500909122	0.165350828	0.312998222	0.558088953	0.166343886	0.201360511	0.522651581	0.442640151	0.017086889	0.183308726	0.543756589	0.012811035	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
550664	0.590248546	0.65702258	0.453700966	0.154086168	0.386712718	0.323131956	0.447692555	0.435297415	0.361186163	0.432857212	0.329667195	0.440911079	0.235952436	0.142374459	0.015668946	0.013344954	0.158754524	0.382420499	0.508608313	0.018425372	0.136745382	0.012762347	0.336896185	0.479173273	0.383299736	0.538869716	0.456336258	0.694559448	0.293502962	0.447737485	0.014911898	0.326634318	0.465451044	0.26750766	0.240080715	0.4017457	0.348778356	0.195458854	0.271081238	0.568032104	0.439991292	0.451611414	0.408826487	0.376511373	0.262919609	0.255726901	0.677864727	0.729657644	0.344732921	0.209313007	0.406250487	0.543756589	0.242159013	0.204357985	0.016767381	0.182874538	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
19731	0.547510244	0.43953701	0.283892708	0.237552908	0.197247202	0.352289046	0.579738675	0.144501085	0.500631729	0.613506325	0.444509622	0.490020046	0.408593519	0.27443222	0.279338162	0.172346435	0.011996838	0.488247753	0.424991222	0.619707274	0.211632867	0.401663345	0.526087055	0.225278351	0.265817268	0.178562277	0.848228066	0.454242935	0.520440934	0.289672379	0.28411301	0.418388986	0.379011828	0.137854602	0.48016143	0.361992953	0.667907452	0.195458854	0.552859467	0.514345051	0.237215573	0.016437416	0.165350828	0.376511373	0.262919609	0.255726901	0.445040762	0.386521608	0.414824007	0.401539126	0.351957658	0.384264801	0.157513498	0.392523767	0.297388869	0.573842339	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
254115	0.491642676	0.463793481	0.52417776	0.594628014	0.197247202	0.465644677	0.387261791	0.386708617	0.416789274	0.500071634	0.495106048	0.421189849	0.408593519	0.010316698	0.015668946	0.013344954	0.011996838	0.298420681	0.424991222	0.218852673	0.008724382	0.012762347	0.526087055	0.479173273	0.265817268	0.27569298	0.316840379	0.354898466	0.353114415	0.502122521	0.453960001	0.483489958	0.465451044	0.137854602	0	0.011076804	0.570010617	0.195458854	0.552859467	0.347577832	0.153390097	0.203856655	0.165350828	0.216573788	0.612875821	0.255726901	0.201360511	0.386521608	0.508977772	0.017086889	0.014659794	0.266724842	0.012811035	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
148846	0.478085109	0.296788913	0.014752987	0.485395901	0.343371297	0.264218607	0.387261791	0.412525399	0.188467124	0.55220719	0.455940541	0.311168783	0.235952436	0.381049703	0.401937366	0.601720349	0.555064807	0.238821862	0.271522233	0.483803153	0.305979939	0.512537934	0.17518422	0.194226839	0.265817268	0.478666392	0.506124492	0.284412444	0.253969504	0.09736224	0.28411301	0.377130555	0.255604755	0.419192015	0.413588544	0.162208163	0.711927771	0.374329108	0.469383134	0.514345051	0.505828117	0.391275895	0.25521045	0.532556821	0.455407586	0.578974516	0.201360511	0.268215627	0.153858889	0.401539126	0.488117203	0.173428127	0.446918424	0.544440337	0.370872274	0.281370914	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__Solirubrobacter;  s__
338471	0.303280566	0.43953701	0.354369502	0.60639432	0.127321118	0.387329458	0.241658648	0.386708617	0.589508313	0.500071634	0.540575459	0.421189849	0.340035655	0.010316698	0.015668946	0.013344954	0.011996838	0.488247753	0.424991222	0.018425372	0.008724382	0.251215902	0.467455135	0.411050252	0.265817268	0.27569298	0.20611627	0.354898466	0.433190827	0.416782467	0.409284398	0.510143653	0.327793265	0.213696779	0	0.011076804	0.402654873	0.431912469	0.500634869	0.180810614	0.296690695	0.391275895	0.472582903	0.347413592	0.68225201	0.166343886	0.017023518	0.386521608	0.508977772	0.401539126	0.183308726	0.266724842	0.242159013	0.204357985	0.193819827	0.182874538	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
1119087	0.262457918	0.154040816	0.453700966	0.296773503	0.450130145	0.439153684	0.010883128	0.412525399	0.654884477	0.432857212	0.388762027	0.345295471	0.377184564	0.142374459	0.279338162	0.172346435	0.244602267	0.238821862	0.217078243	0.018425372	0.008724382	0.251215902	0.013472256	0.45469723	0.013152413	0.012516243	0.671647604	0.185067975	0.563868308	0.430004128	0.35460588	0.261533345	0.465451044	0.137854602	0.413588544	0.490151878	0.348778356	0.374329108	0.271081238	0.347577832	0.296690695	0.313489883	0.318966866	0.347413592	0.170806596	0.166343886	0.385697505	0.386521608	0.344732921	0.017086889	0.281962027	0.461686394	0.242159013	0.016192203	0.016767381	0.405461672	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Aeromonadales;  f__Aeromonadaceae;  g__;  s__
236375	0.135651194	0.154040816	0.782891162	0.154086168	0.007781687	0.205305259	0.15648627	0.278513242	0.188467124	0.270909385	0.466633451	0.440911079	0.500687699	0.27443222	0.734650873	0.601720349	0.158754524	0.488247753	0.217078243	0.018425372	0.414541351	0.16320979	0.269779655	0.43145084	0.383299736	0.178562277	0.016832157	0.354898466	0.462787137	0.394237444	0.35460588	0.012923038	0.327793265	0.137854602	0.206794272	0.361992953	0.014066867	0.431912469	0.338410454	0.514345051	0.296690695	0.203856655	0.408826487	0.493362413	0.013338361	0.166343886	0.534522884	0.428746841	0.238321993	0.209313007	0.351957658	0.173428127	0.242159013	0.204357985	0.297388869	0.182874538	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Micrococcales;  f__;  g__;  s__
235293	0.389264643	0.342743536	0.354369502	0.011398832	0.197247202	0.306018294	0.348963155	0.222893172	0.289501285	0.270909385	0.388762027	0.50389147	0.500687699	0.381049703	0.279338162	0.490349397	0.570755435	0.238821862	0.424991222	0.218852673	0.305979939	0.401663345	0.336896185	0.387136452	0.383299736	0.27569298	0.316840379	0.354898466	0.416305101	0.423550758	0.409284398	0.326634318	0.399981776	0.343349838	0.163880583	0.490151878	0.181422612	0.518740889	0.390635051	0.278363183	0.153390097	0.391275895	0.25521045	0.312998222	0.262919609	0.442510021	0.017023518	0.386521608	0.382712624	0.401539126	0.450610959	0.013936339	0.419042207	0.016192203	0.193819827	0.281370914	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
153320	0.135651194	0.154040816	0.184561244	0.237552908	0.343371297	0.104592224	0.010883128	0.010488928	0.015748085	0.01422815	0.329667195	0.139658798	0.153336938	0.61579658	0.543007378	0.38253496	0.635412849	0.238821862	0.140343748	0.419279973	0.434000939	0.614552118	0.013472256	0.358242423	0.383299736	0.178562277	0.016832157	0.579402163	0.008365227	0.333849058	0.184758889	0.012923038	0.132197682	0.501836753	0.290272459	0.162208163	0.279319447	0.374329108	0.176186038	0.014043395	0.237215573	0.016437416	0.165350828	0.009197604	0.013338361	0.650712466	0.017023518	0.013779673	0.009468257	0.728408052	0.743548351	0.013936339	0.493502213	0.641265401	0.54792472	0.596995274	k__Bacteria;  p__Verrucomicrobia;  c__[Spartobacteria];  o__[Chthoniobacterales];  f__[Chthoniobacteraceae];  g__DA101;  s__
