#ID	Ca	Cb	Cc	Cd	Ce	Ch1a	Ch1b	Ch1c	Ch1d	Ch1e	Ch2a	Ch2b	Ch2c	Ch2d	Ch2e	Ch3a	Ch3b	Ch3c	Ch3d	Ch3e	Ch4a	Ch4b	Ch4c	Ch4d	Ch4e	Ch5a	Ch5b	Ch5c	Ch5d	Ch5e	E1a	E1b	E1c	E1d	E1e	Ra	Rb	Rc	Rd	Re	Wa	Wb	Wc	Wd	We	taxonomy
310182	1.219706566	0	147.9707935	1.219706566	100.1006461	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	147.9707935	2.088449965	1.219706566	147.0619293	98.88924559	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
8716	1.219706566	147.0619293	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	147.9707935	100.1006461	98.88924559	100.1006461	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
110432	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	100.9677089	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	147.9707935	147.9707935	100.1006461	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Bacteroidetes; c__Flavobacteria; o__Flavobacteriales; f__Flavobacteriaceae; g__Arenibacter; s__
239606	177.4097852	0	1.219706566	1.219706566	100.1006461	1.219706566	1.219706566	0	1.219706566	1.219706566	100.1006461	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
191744	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	98.88924559	1.219706566	1.219706566	2.088449965	100.9677089	147.9707935	100.1006461	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__
129505	1.219706566	147.0619293	147.9707935	1.219706566	100.1006461	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__Alteromonas marina
75016	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	100.1006461	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	100.1006461	2.088449965	2.088449965	147.9707935	1.219706566	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__
572877	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	100.1006461	1.219706566	2.088449965	1.219706566	100.1006461	2.088449965	2.088449965	100.1006461	100.1006461	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__Hyphomonas; s__
91903	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	98.88924559	100.1006461	100.1006461	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	100.1006461	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Nisaea; s__
235281	1.219706566	0	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	1.219706566	1.219706566	2.088449965	2.088449965	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	1.219706566	100.1006461	2.088449965	147.9707935	0	0	1.219706566	1.219706566	1.219706566	0	1.219706566	1.219706566	2.088449965	2.088449965	100.1006461	1.219706566	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__
