#ID	Ca	Cb	Cc	Cd	Ce	Ch1a	Ch1b	Ch1c	Ch1d	Ch1e	Ch2a	Ch2b	Ch2c	Ch2d	Ch2e	Ch3a	Ch3b	Ch3c	Ch3d	Ch3e	Ch4a	Ch4b	Ch4c	Ch4d	Ch4e	Ch5a	Ch5b	Ch5c	Ch5d	Ch5e	E1a	E1b	E1c	E1d	E1e	Ra	Rb	Rc	Rd	Re	Wa	Wb	Wc	Wd	We	taxonomy
317708	0	1152	814	0	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	827	7	7	0	7	7	1492	1492	1492	1601	1351	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
136218	0	0	0	0	0	17	24	15	7	17	11	11	17	11	820	7	1156	17	829	7	7	7	7	7	15	1496	820	2009	1496	820	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria
140938	0	814	0	0	814	17	835	827	7	1163	11	824	17	11	7	7	7	17	17	7	820	820	1156	820	1162	7	820	814	820	7	0	0	0	0	0	7	7	820	814	7	1159	827	24	1496	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae
245893	0	0	0	0	0	17	24	15	7	17	1607	824	1361	1607	1496	820	820	1501	829	820	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
509779	0	0	0	0	0	829	24	15	7	1163	824	1159	1361	824	7	1156	1156	1501	17	1356	7	7	7	7	827	7	820	0	7	820	0	0	0	0	0	7	820	820	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
537600	814	0	1351	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	1692	1601	1492	1601	1152	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
202204	1770	1351	1351	1601	1601	17	24	15	820	17	11	11	17	11	7	7	7	17	17	7	820	7	7	7	15	7	7	0	820	7	0	0	0	0	814	7	7	7	0	7	11	827	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
168069	0	0	0	0	0	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	0	0	0	0	1156	1496	820	1492	1496	824	827	1168	1696	1496	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
135862	0	0	0	0	0	17	24	15	7	17	11	1159	17	11	7	1696	1496	829	829	1774	7	7	7	820	1162	7	7	1152	7	1156	0	0	0	0	0	7	7	7	814	7	11	15	24	7	7	Root; k__Bacteria
532913	0	0	0	0	0	17	24	15	7	17	1159	1607	1501	1607	1496	820	7	1163	1163	820	7	820	820	7	15	1156	7	0	7	1156	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
